0_age_at_initial_pathologic_diagnosis,0_race_WHITE,1_hsa.miR.106b.5p,1_hsa.miR.1307.3p,1_hsa.miR.1468.5p,1_hsa.miR.150.5p,1_hsa.miR.17.5p,1_hsa.miR.20a.3p,1_hsa.miR.301a.3p,1_hsa.miR.3170,1_hsa.miR.3648,1_hsa.miR.3677.3p,1_hsa.miR.4668.3p,1_hsa.miR.92a.3p,1_hsa.miR.512.3p
1,1,1,1,1,1,1,0,1,0,1,1,1,0,0
0,1,1,1,1,1,1,0,1,0,1,1,1,0,0
0,1,0,1,1,0,0,0,1,1,1,1,1,0,1
1,0,1,1,1,0,1,0,1,0,1,1,0,0,0
1,1,0,0,1,1,0,0,0,0,1,1,0,0,0
1,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
