0_CLDN8,0_DACT2,0_DYNC2LI1,0_FGF9,0_FGFR4,0_NDUFA4L2,0_NELL1,0_NTN1,0_UNC5CL
1,1,1,0,1,1,0,1,1
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,1,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,1,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,1,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
1,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
