0_DCAF4,0_DGKG,0_DUSP22,0_EFNB2,0_EMCN,0_FAM111A,0_GK5,0_GRPEL2,0_GTF3C1,0_LNX1,0_NTN1,0_NUDT9,0_PCDHGA2,0_PDIA4,0_PHB,0_PLCG2,0_PPM1K,0_RALA,0_SLC43A2,0_STC2,0_UNC5CL,0_WLS
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
