0_age_at_initial_pathologic_diagnosis,0_ajcc_pathologic_tumor_stage_Stage IV,1_hsa.let.7i.5p,1_hsa.miR.34c.5p,1_hsa.miR.616.3p,1_hsa.miR.95.3p,2_ABHD12.26090,2_ARMS2.387715,2_ASCC2.84164,2_BARX1.56033,2_C10orf122.387718,2_C21orf125.284836,2_C6orf134.79969,2_CHD3.1107,2_CLNK.116449,2_CREB3.10488,2_CYP3A4.1576,2_CYP4Z1.199974,2_DDAH1.23576,2_DQX1.165545,2_FABP5L3.220832,2_FGF5.2250,2_GIPR.2696,2_GPR98.84059,2_H2AFV.94239,2_HHIPL2.79802,2_IGBP1.3476,2_IQCF6.440956,2_LCTL.197021,2_LPXN.9404,2_LRRC14.9684,2_METRNL.284207,2_MUM1L1.139221,2_NEB.4703,2_NIPA2.81614,2_OLFM3.118427,2_OR52H1.390067,2_PCDHA12.56137,2_PPARG.5468,2_QRFPR.84109,2_RGS17.26575,2_SMS.6611,2_TMEM200C.645369,2_TNFSF14.8740,2_TRIM8.81603,2_TRMT112.51504,2_TUBB2B.347733,2_WDR75.84128,2_ZNF835.90485
1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1
1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1
1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0
1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,0
1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0
1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0
1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0
1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0
1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0
