0_age_at_initial_pathologic_diagnosis,0_race_WHITE,1_AKAP4.8852,1_ANP32E.81611,1_C20orf152.140894,1_C20orf56.140828,1_C22orf26.55267,1_C4orf10.317648,1_CAMSAP1.157922,1_CARTPT.9607,1_CCDC122.160857,1_CCDC152.100129792,1_CD40.958,1_CHRNA10.57053,1_COL15A1.1306,1_CST3.1471,1_CUL4B.8450,1_DHH.50846,1_FAM196B.100131897,1_FAM71F2.346653,1_FOLH1B.219595,1_GALNT12.79695,1_GPX5.2880,1_HDAC2.3066,1_INA.9118,1_KIAA0146.23514,1_KIAA1908.114796,1_LOC442421.442421,1_LOC727924.727924,1_LSM14B.149986,1_MRAP2.112609,1_MRPL54.116541,1_NKX3.2.579,1_NLRP10.338322,1_NUDCD1.84955,1_OR2A9P.441295,1_PPP1R11.6992,1_PTPN20B.26095,1_PYCRL.65263,1_RCC2.55920,1_RIOK1.83732,1_RNF24.11237,1_SLC5A6.8884,1_SOX12.6666,1_SPAG8.26206,1_SPRYD5.84767,1_SYNCRIP.10492,1_TCTEX1D4.343521,1_THOC2.57187,1_USP24.23358,1_ZAP70.7535,1_ZMAT4.79698
1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0
1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0
0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0
0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1
0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1
0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
