0_race_WHITE,1_ADIPOR1.51094,1_AMD1.262,1_ANAPC16.119504,1_ANKRD33.341405,1_C16orf71.146562,1_C6orf129.154467,1_CD1C.911,1_CDKN2AIPNL.91368,1_CERK.64781,1_CHRNA10.57053,1_CYB5D2.124936,1_DHRS12.79758,1_E2F6.1876,1_ERCC6L.54821,1_FOXO1.2308,1_GALNT12.79695,1_GSTT2.2953,1_GUSBL2.375513,1_HIST1H2BH.8345,1_HIST1H3I.8354,1_HNRNPA3P1.10151,1_HOXA11.3207,1_IL1RAPL2.26280,1_KLRB1.3820,1_LACE1.246269,1_LRRC17.10234,1_MCHR2.84539,1_MGC29506.51237,1_MTSS1.9788,1_NLRP10.338322,1_OR2A7.401427,1_OR2M5.127059,1_PIPOX.51268,1_PRKAG1.5571,1_PSCA.8000,1_PSMD10.5716,1_PTPN20B.26095,1_RAD9B.144715,1_RPS10.6204,1_RYR3.6263,1_SLC38A3.10991,1_SLED1.643036,1_SNORD17.692086,1_SNORD97.692223,1_STH.246744,1_TNPO1.3842,1_TOP1P1.7151,1_TRIM69.140691,1_USP24.23358,1_YWHAQ.10971,1_ZNF703.80139
0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1
0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1
1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1
1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1
1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1
0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1
0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1
0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1
1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1
1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1
