0_age_at_initial_pathologic_diagnosis,1_ALDH5A1.7915,1_ALS2CR4.65062,1_AQP5.362,1_ARHGAP11B.89839,1_ART3.419,1_AURKA.6790,1_B3GALNT2.148789,1_BICD1.636,1_BRIP1.83990,1_BTN2A2.10385,1_C10orf114.399726,1_C12orf48.55010,1_C17orf77.146723,1_C6orf221.154288,1_CCNB1.891,1_CCNF.899,1_CEACAM1.634,1_CENPA.1058,1_CEP55.55165,1_CLEC5A.23601,1_COL8A1.1295,1_CUTC.51076,1_DGCR6.8214,1_DNAJB12.54788,1_EFNB2.1948,1_EVC2.132884,1_FGFR3.2261,1_GJD3.125111,1_GLUD1.2746,1_GPM6A.2823,1_GPR3.2827,1_HILS1.373861,1_HIST1H4D.8360,1_HOXD4.3233,1_HSPG2.3339,1_IGF2BP3.10643,1_ISL2.64843,1_KERA.11081,1_KNTC1.9735,1_LCN6.158062,1_LOC254559.254559,1_LOC284276.284276,1_LOC647946.647946,1_LOC84989.84989,1_LRRC27.80313,1_MARCH5.54708,1_MORN4.118812,1_NCRNA00152.112597,1_NDST4.64579,1_OSR2.116039,1_PCDHGA12.26025,1_PDLIM4.8572,1_PHTF1.10745,1_PLA2G6.8398,1_PLAT.5327,1_PRG2.5553,1_PTGFRN.5738,1_RAD51AP1.10635,1_RASGEF1C.255426,1_RGR.5995,1_SERPINE1.5054,1_SGCD.6444,1_SGOL2.151246,1_SIPA1L3.23094,1_SLC25A28.81894,1_SLC26A2.1836,1_SLC27A3.11000,1_SLC35F5.80255,1_SLC4A3.6508,1_SMOC1.64093,1_SMS.6611,1_SULF2.55959,1_SWAP70.23075,1_TACC3.10460,1_TAGLN2.8407,1_TCF19.6941,1_THTPA.79178,1_TIAL1.7073,1_TK1.7083,1_TMEM100.55273,1_TMEM194A.23306,1_TUBGCP2.10844,1_UPF3A.65110,1_WEE1.7465,1_ZAK.51776,1_ZCCHC24.219654,1_ZNF347.84671,1_ZNF808.388558,1_ZRANB1.54764
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
