0_age_at_initial_pathologic_diagnosis,1_ABHD4.63874,1_APOBEC3C.27350,1_BCORL1.63035,1_C11orf48.79081,1_C17orf77.146723,1_C19orf48.84798,1_C1orf53.388722,1_C1orf91.56063,1_C7orf57.136288,1_CDC20B.166979,1_CMTM5.116173,1_CNIH3.149111,1_COMT.1312,1_DCDC2B.149069,1_EDEM1.9695,1_EFHB.151651,1_EHD3.30845,1_ELK1.2002,1_ELL3.80237,1_ENTPD8.377841,1_EVX1.2128,1_F2RL2.2151,1_FAM90A7.441317,1_FLJ36000.284124,1_FUT5.2527,1_GCAT.23464,1_GPR139.124274,1_KLHL9.55958,1_LOC152217.152217,1_LOC650368.650368,1_LUZP1.7798,1_MAPK8IP2.23542,1_MPV17L.255027,1_MS4A8B.83661,1_NEU4.129807,1_PDE6D.5147,1_PHF14.9678,1_PMP22.5376,1_POU3F1.5453,1_PTGFRN.5738,1_RAD18.56852,1_RYR3.6263,1_SERTAD2.9792,1_SPAG4.6676,1_STAT6.6778,1_TATDN3.128387,1_TFAP2B.7021,1_WEE1.7465,1_WHSC1.7468,1_ZNF311.282890,1_ZNF32.7580,1_ZNF705D.728957
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
