0_ajcc_pathologic_tumor_stage_Stage IV,2_ANO4.121601,2_ATG9B.285973,2_BARX1.56033,2_BCAS3.54828,2_CCNE1.898,2_CDADC1.81602,2_CFD.1675,2_CLTB.1212,2_DNMT3A.1788,2_DUSP12.11266,2_EIF5A.1984,2_EPOR.2057,2_EWSR1.2130,2_FAM150B.285016,2_IGHMBP2.3508,2_KCND2.3751,2_KCNIP2.30819,2_KRT25.147183,2_LOC147727.147727,2_MASP1.5648,2_MFI2.4241,2_MUM1L1.139221,2_NDC80.10403,2_NKIRAS1.28512,2_PCDHA12.56137,2_PEX1.5189,2_PNMAL1.55228,2_PPIB.5479,2_PSAPL1.768239,2_PSMB10.5699,2_RAB33B.83452,2_RASSF6.166824,2_RBMX2.51634,2_SCARNA12.677777,2_SFRS17A.8227,2_SLC16A12.387700,2_SLC22A5.6584,2_SLC46A2.57864,2_SPAG5.10615,2_SPTLC1.10558,2_SRC.6714,2_STAP2.55620,2_STAT2.6773,2_TBC1D8B.54885,2_TMEM189.387521,2_TMEM209.84928,2_TP73.7161,2_TSPYL5.85453,2_UBE2S.27338,2_UBE2V1.7335,2_XCR1.2829,2_ZBTB8OS.339487,2_ZNF83.55769
1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
