0_age_at_initial_pathologic_diagnosis,1_ACTL6A.86,1_AP4S1.11154,1_ARPC5.10092,1_ASPDH.554235,1_ATP6V0E2.155066,1_C22orf9.23313,1_C2orf64.493753,1_C4orf49.84709,1_CCDC46.201134,1_CDKN2BAS.100048912,1_CEACAM1.634,1_CLEC18B.497190,1_CLIC4.25932,1_CPA6.57094,1_EFHB.151651,1_EPN2.22905,1_EYA1.2138,1_FAM66C.440078,1_FANCA.2175,1_FDX1.2230,1_GEMIN7.79760,1_GREB1L.80000,1_HILS1.373861,1_HIPK2.28996,1_HMG20B.10362,1_HSD17B4.3295,1_IBTK.25998,1_IL1RAPL1.11141,1_KCTD4.386618,1_KDELR2.11014,1_KIAA1012.22878,1_KLK11.11012,1_KNDC1.85442,1_LOC100132215.100132215,1_LOC151534.151534,1_MACC1.346389,1_MAGI2.9863,1_MAPK3.5595,1_MKRN3.7681,1_MUCL1.118430,1_POM121L9P.29774,1_PPP2R2C.5522,1_RASA2.5922,1_RGPD3.653489,1_SFRS2.6427,1_SMS.6611,1_TREX2.11219,1_WEE1.7465,1_ZFR2.23217,1_ZNF648.127665,1_ZNF705D.728957,1_ZNFX1.57169
1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0
1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0
1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0
1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1
1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0
1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0
1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0
1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0
1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0
1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
