1_hsa.miR.125a.3p,1_hsa.miR.301a.3p,1_hsa.miR.3605.3p,1_hsa.miR.3687,1_hsa.miR.652.5p,1_hsa.miR.744.3p,2_ABTB1.80325,2_ACLY.47,2_AKAP4.8852,2_ALDH1A1.216,2_ANKRD33.341405,2_AZIN1.51582,2_BDKRB2.624,2_C10orf11.83938,2_C14orf28.122525,2_C17orf44.284029,2_C22orf26.55267,2_C4orf10.317648,2_CARTPT.9607,2_CCDC122.160857,2_CHRNA10.57053,2_COL15A1.1306,2_FLJ10038.55056,2_GALNT12.79695,2_GNL3.26354,2_GRP.2922,2_H2BFWT.158983,2_HSP90AB1.3326,2_JUB.84962,2_KIAA0146.23514,2_KIAA1377.57562,2_LTF.4057,2_LY6D.8581,2_MCHR2.84539,2_MDP1.145553,2_MMP28.79148,2_NUDT13.25961,2_PLAG1.5324,2_PLEKHF1.79156,2_PPP1R11.6992,2_PSCA.8000,2_PTPN20B.26095,2_RAB7L1.8934,2_RLIM.51132,2_RP1.6101,2_RPGRIP1L.23322,2_SERP2.387923,2_SLAMF1.6504,2_SPRYD5.84767,2_TERT.7015,2_TPI1.7167,2_TSPYL2.64061,2_VPREB3.29802,2_ZNF329.79673,2_ZNF7.7553
0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0
0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0
0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1
0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
