0_age_at_initial_pathologic_diagnosis,1_hsa.miR.1228.3p,1_hsa.miR.144.3p,1_hsa.miR.1537.5p,1_hsa.miR.15b.5p,1_hsa.miR.193b.5p,1_hsa.miR.196a.5p,1_hsa.miR.346,1_hsa.miR.381.5p,1_hsa.miR.382.3p,1_hsa.miR.432.5p,1_hsa.miR.452.5p,1_hsa.miR.502.5p,1_hsa.miR.655.3p,2_AKAP13.11214,2_ANGPT1.284,2_BEND6.221336,2_C21orf59.56683,2_C2orf85.285093,2_C9orf110.100128385,2_CALR3.125972,2_CCDC85C.317762,2_CD200R1.131450,2_CDCA2.157313,2_CENPH.64946,2_CLEC5A.23601,2_CMTM8.152189,2_CYTH3.9265,2_DST.667,2_DUSP26.78986,2_ELK1.2002,2_HIST1H1T.3010,2_HIST1H2BD.3017,2_HOXD12.3238,2_IGF2BP3.10643,2_KLHL25.64410,2_LOC388387.388387,2_MARCKSL1.65108,2_MTAP.4507,2_MTIF3.219402,2_NFU1.27247,2_NIPA2.81614,2_OCRL.4952,2_PDZK1IP1.10158,2_PSMC3.5702,2_PSTPIP1.9051,2_RGPD5.84220,2_RPL19.6143,2_SAMD4B.55095,2_SIT1.27240,2_SKAP2.8935,2_SKI.6497,2_SLC25A6.293,2_SMYD4.114826,2_SNAPC2.6618,2_SPARC.6678,2_TXNRD3IT1.645840,2_WEE1.7465
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
